freq,purchase,unit,geo\TIME_PERIOD	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 
A,DW_EXST,RCH_A_AVG,IE	: 	-17.2 	-13.6 	2.6 	17.4 	10.9 	7.4 	11.9 	10.1 	1.8 
A,DW_EXST,RCH_A_AVG,IS	: 	: 	: 	: 	: 	: 	: 	: 	8.2 d	4.4 d
A,DW_EXST,RCH_A_AVG,IT	: 	0.4 	-4.6 	-8.7 	-5.5 	-4.5 	0.1 	-1.2 	-1.0 	-0.4 
A,DW_EXST,RCH_A_AVG,LT	-4.3 	5.9 	-1.8 	2.2 	6.8 	3.4 	6.5 	8.6 	7.1 	7.0 
A,DW_EXST,RCH_A_AVG,LU	5.9 	4.8 	3.9 	3.3 	5.1 	3.9 	6.2 	5.7 	7.8 	10.9 
A,DW_EXST,RCH_A_AVG,LV	-12.3 	6.0 	0.7 	7.4 	5.3 	-2.1 	8.5 	8.9 	10.2 	8.9 
A,DW_EXST,RCH_A_AVG,MT	-3.6 	0.1 	3.5 	3.9 	3.0 	5.0 	6.8 	5.4 	4.4 	5.0 p
A,DW_EXST,RCH_A_AVG,NL	-2.2 	-2.4 	-6.5 	-6.6 	0.9 	2.8 	5.1 	7.6 	9.0 	6.9 
A,DW_EXST,RCH_A_AVG,NO	: 	8.0 	6.9 	4.1 	2.7 	7.1 	8.2 	5.6 	1.1 	2.7 
A,DW_EXST,RCH_A_AVG,PL	: 	-0.4 	-5.1 	-3.7 	1.3 	0.7 	2.5 	4.5 	7.5 	10.4 
A,DW_EXST,RCH_A_AVG,PT	0.8 	-6.6 	-7.8 	-2.2 	4.3 	4.0 	8.7 	10.4 	11.0 	10.1 
A,DW_EXST,RCH_A_AVG,RO	-7.7 	-13.8 	-6.5 	0.2 	-2.2 	3.4 	6.0 	7.3 	5.9 	3.8 
A,DW_EXST,RCH_A_AVG,SE	9.0 	1.9 	0.9 	6.4 	10.6 	14.9 	8.5 	6.7 	-2.9 	2.0 
A,DW_EXST,RCH_A_AVG,SI	2.1 	0.7 	-5.6 	-5.3 	-6.9 	0.6 	3.8 	7.8 	8.9 	8.0 
A,DW_EXST,RCH_A_AVG,SK	: 	-0.8 	-2.3 	1.5 	1.3 	6.4 	6.9 	5.5 	8.0 	11.0 
A,DW_EXST,RCH_A_AVG,TR	: 	7.4 	9.1 	11.2 	13.6 	16.2 	13.6 	9.9 	7.0 	4.9 
A,DW_EXST,RCH_A_AVG,UK	6.1 	-1.7 	0.5 	2.5 	8.0 	6.0 	6.8 	4.5 	3.1 	1.0 
A,DW_NEW,INX_A_AVG,AT	77.52 	82.19 	87.39 	91.01 	95.44 	100.00 	103.80 	109.97 	113.54 	120.35 
A,DW_NEW,INX_A_AVG,BE	88.76 	92.25 	93.97 	97.49 	95.42 	100.00 	103.49 	107.91 	111.35 	114.79 
A,DW_NEW,INX_A_AVG,BG	97.86 	96.85 	96.58 	93.94 	96.62 	100.00 	106.41 	113.54 	120.04 	130.19 p
A,DW_NEW,INX_A_AVG,CY	114.06 	111.04 	108.37 	104.04 	101.42 	100.00 	100.63 	103.06 	105.59 	110.50 
A,DW_NEW,INX_A_AVG,CZ	97.20 	95.80 	93.60 	93.70 	95.40 	100.00 	105.90 	120.60 	134.90 	145.50 
A,DW_NEW,INX_A_AVG,DE	83.60 	87.80 	90.30 	91.40 	94.80 	100.00 	106.90 	111.80 	118.90 	122.90 
A,DW_NEW,INX_A_AVG,DK	40.48 	45.58 	50.62 	80.16 	89.54 	100.00 	99.37 	100.00 	101.79 	102.52 
A,DW_NEW,INX_A_AVG,EE	56.39 	61.71 	68.65 	74.86 	90.00 	100.00 	105.33 	110.78 	120.45 	129.22 
A,DW_NEW,INX_A_AVG,ES	124.20 	116.84 	100.05 	94.66 	95.48 	100.00 	106.45 	112.93 	120.05 	129.10 
A,DW_NEW,INX_A_AVG,FI	87.72 	91.41 	95.88 	97.93 	98.94 	100.00 b	101.82 	104.57 	107.69 	110.22 
A,DW_NEW,INX_A_AVG,FR	94.55 	99.14 	98.58 	98.21 	98.33 	100.00 	101.72 	105.73 	108.39 	112.30 
A,DW_NEW,INX_A_AVG,HR	111.08 	113.05 	112.75 	108.86 	106.55 	100.00 	96.60 	96.52 	99.95 	108.28 
A,DW_NEW,INX_A_AVG,HU	90.44 	87.50 	87.42 	88.37 	92.11 	100.00 	110.11 	130.76 	148.67 	164.73 
A,DW_NEW,INX_A_AVG,IE	117.08 	97.71 	85.30 	78.91 	86.69 	100.00 	107.63 	113.51 	124.75 	129.80 
A,DW_NEW,INX_A_AVG,IT	100.80 	104.00 	106.30 	104.80 	102.00 	100.00 	100.70 	100.00 	101.10 	102.30 
A,DW_NEW,INX_A_AVG,LT	77.17 	85.00 	92.04 	90.45 	95.04 	100.00 	102.19 	112.31 	121.02 	128.83 
A,DW_NEW,INX_A_AVG,LU	78.89 	80.08 	83.66 	90.07 	92.43 	100.00 	105.61 	111.38 	117.65 	127.69 
A,DW_NEW,INX_A_AVG,LV	61.96 	82.76 	95.85 	99.71 	108.31 	100.00 	107.50 	116.52 	123.67 	134.51 
A,DW_NEW,INX_A_AVG,MT	93.59 	91.69 	94.36 	92.40 	94.24 	100.00 	104.98 	110.49 	117.37 	124.98 p
A,DW_NEW,INX_A_AVG,NL	104.86 	104.82 	96.42 	93.26 	93.31 	100.00 	104.62 	112.20 	126.13 	138.78 
A,DW_NEW,INX_A_AVG,NO	76.02 	82.53 	88.12 	92.32 	94.53 	100.00 	107.07 	112.72 	115.19 	122.44 
A,DW_NEW,INX_A_AVG,PL	101.28 	102.38 	101.94 	96.95 	97.46 	100.00 	101.08 	104.31 	110.02 	117.38 
A,DW_NEW,INX_A_AVG,PT	105.19 	102.10 	95.68 	94.43 	98.33 	100.00 	103.33 	109.12 	117.30 	126.20 
A,DW_NEW,INX_A_AVG,RO	109.85 	106.11 	107.94 	102.71 	101.64 	100.00 	105.39 	105.68 	109.91 	111.92 
A,DW_NEW,INX_A_AVG,SE	88.87 	93.87 	96.00 	94.97 	97.80 	100.00 	106.20 	112.78 	123.71 	129.54 
A,DW_NEW,INX_A_AVG,SI	115.14 	121.18 	109.65 	104.22 	98.20 	100.00 	100.34 	110.95 	120.10 	120.22 
A,DW_NEW,INX_A_AVG,SK	102.91 	99.89 	96.05 	95.66 	97.11 	100.00 	106.03 	113.00 	119.75 	126.86 
A,DW_NEW,INX_A_AVG,TR	58.65 	62.31 	68.48 	76.62 	86.19 	100.00 	113.62 	126.83 	136.48 	144.78 
A,DW_NEW,INX_A_AVG,UK	84.65 	85.92 	85.56 	88.07 	95.17 	100.00 	109.35 	114.94 	119.81 	120.78 
