"07230: Prisindeks for brukte boliger, etter statistikkvariabel, region, boligtype og år"

"statistikkvariabel";"region";"boligtype";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020"
"Prisindeks for brukte boliger";"Akershus uten Bærum";"Boliger i alt";17.6;17.5;20.0;22.0;25.0;28.3;32.0;36.0;42.2;44.0;45.9;46.7;50.7;54.3;61.1;69.4;68.6;69.0;74.0;79.1;84.6;89.5;91.8;100.0;110.5;121.1;122.4;125.5;130.5
"Prisindeks for brukte boliger";"Akershus uten Bærum";"Eneboliger";18.6;18.4;20.3;22.6;26.1;29.6;32.9;36.6;42.8;44.4;46.7;47.2;51.4;54.7;61.5;69.6;69.3;69.8;74.7;79.2;84.3;89.5;92.1;100.0;110.3;120.3;122.2;125.3;129.6
"Prisindeks for brukte boliger";"Akershus uten Bærum";"Småhus";17.1;17.0;20.0;22.2;24.0;27.5;31.8;35.9;41.8;43.9;45.0;46.0;49.9;54.2;61.4;69.9;68.4;68.7;74.2;80.0;85.9;90.3;91.3;100.0;110.8;122.2;122.4;125.2;132.4
"Prisindeks for brukte boliger";"Akershus uten Bærum";"Blokkleiligheter";14.4;14.5;17.1;18.3;21.3;24.7;28.5;32.9;39.5;41.5;44.1;45.8;48.8;52.8;59.1;67.7;65.5;66.0;70.3;77.6;83.8;88.6;91.1;100.0;111.0;122.4;122.7;127.0;130.6
"Prisindeks for brukte boliger";"Vestfold og Telemark og Viken uten Akershus";"Boliger i alt";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;58.0;63.5;70.9;71.4;72.4;77.3;82.1;87.3;90.8;93.7;100.0;107.5;112.6;117.0;120.9;127.9
"Prisindeks for brukte boliger";"Vestfold og Telemark og Viken uten Akershus";"Eneboliger";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;58.9;64.1;71.8;72.5;73.1;78.2;82.7;87.4;90.8;94.0;100.0;107.0;111.9;116.2;120.0;127.8
"Prisindeks for brukte boliger";"Vestfold og Telemark og Viken uten Akershus";"Småhus";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;56.6;62.7;69.7;69.5;71.3;76.2;81.4;87.2;90.9;92.7;100.0;108.8;113.8;117.8;121.9;127.6
"Prisindeks for brukte boliger";"Vestfold og Telemark og Viken uten Akershus";"Blokkleiligheter";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;54.9;61.0;68.0;68.7;69.8;74.0;79.5;86.3;90.4;93.7;100.0;108.1;114.4;119.4;123.8;129.2
"Prisindeks for brukte boliger";"Innlandet";"Boliger i alt";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;60.3;66.1;72.2;72.5;74.2;79.1;83.3;87.5;90.6;94.4;100.0;105.8;113.5;116.8;118.8;122.2
"Prisindeks for brukte boliger";"Innlandet";"Eneboliger";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;60.7;66.4;72.5;73.0;74.6;79.5;83.4;87.3;90.4;94.2;100.0;104.8;112.7;115.1;116.5;120.4
"Prisindeks for brukte boliger";"Innlandet";"Småhus";0.0;0.0;0.0;..;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;..;..;..;..
"Prisindeks for brukte boliger";"Innlandet";"Blokkleiligheter";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;59.1;63.9;69.3;68.5;69.9;74.9;80.2;85.4;89.6;92.5;100.0;107.6;117.5;123.1;127.4;131.9
