"Purchase price for one- and two-dwelling buildings, average in 1 000 SEK by region, type of real estate and year"

"region";"type of real estate";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019"
"1257 Örkelljunga";"permanent dwelling (no site leasehold rights)";197;203;207;221;233;246;252;284;322;439;423;375;400;381;388;404;412;423;431;425;466;492;556;635;691;795;864;994;844;940;1240;876;899;1094;939;1136;1105;1162;1235
"1260 Bjuv";"permanent dwelling (no site leasehold rights)";210;211;191;221;218;224;260;289;374;407;455;415;370;415;398;440;461;489;539;555;556;624;659;735;754;991;1121;1069;1126;1180;1160;1115;1144;1253;1282;1267;1513;1516;1679
"1261 Kävlinge";"permanent dwelling (no site leasehold rights)";318;314;285;319;317;336;368;448;582;714;776;676;617;658;651;678;758;809;898;980;1149;1270;1413;1611;1783;2058;2254;2307;2314;2512;2427;2305;2407;2470;2722;2939;3389;3405;3614
"1262 Lomma";"permanent dwelling (no site leasehold rights)";389;391;362;396;426;447;495;594;745;941;1013;954;797;886;924;898;1026;1227;1333;1566;1700;1862;2020;2334;2556;2881;3197;3357;3363;3624;3695;3515;3732;3849;4246;4475;5237;5227;5614
"1263 Svedala";"permanent dwelling (no site leasehold rights)";312;285;264;320;317;327;361;462;564;693;765;703;580;610;598;666;707;742;916;1012;1086;1130;1422;1583;1761;2027;2159;2280;2250;2330;2333;2314;2354;2361;2603;3042;3171;3091;3223
"1264 Skurup";"permanent dwelling (no site leasehold rights)";254;236;252;232;265;251;295;333;429;516;573;509;470;499;433;465;539;577;617;695;787;878;1027;1163;1348;1451;1669;1747;1586;1814;1691;1689;1617;1757;1923;2016;2338;2338;2543
"1265 Sjöbo";"permanent dwelling (no site leasehold rights)";211;206;198;210;213;226;246;279;342;406;444;410;402;379;378;431;449;426;507;500;596;598;751;781;816;1040;1125;1119;1084;1216;1277;1273;1214;1284;1268;1335;1496;1535;1708
"1266 Hörby";"permanent dwelling (no site leasehold rights)";226;203;203;223;231;216;251;295;335;397;438;402;358;380;444;427;491;470;520;529;548;634;691;764;910;1021;1088;1261;1211;1285;1348;1348;1409;1329;1275;1533;1600;1550;1633
"1267 Höör";"permanent dwelling (no site leasehold rights)";246;261;257;219;250;282;318;386;436;503;584;529;526;512;477;509;551;585;591;642;678;737;877;919;1008;1291;1494;1365;1373;1642;1532;1585;1467;1637;1593;1750;1811;1924;2011
"1270 Tomelilla";"permanent dwelling (no site leasehold rights)";165;156;161;155;169;162;190;231;259;312;350;317;259;301;322;345;362;368;395;452;469;516;556;685;720;922;973;926;1139;1175;998;1103;1153;1215;1219;1423;1519;1496;1667
"1272 Bromölla";"permanent dwelling (no site leasehold rights)";246;250;222;227;233;248;267;311;358;412;414;437;403;410;411;467;467;502;506;558;563;602;637;686;738;821;865;961;950;1010;1078;1050;941;988;1073;1092;1150;1152;1411
"1273 Osby";"permanent dwelling (no site leasehold rights)";208;199;208;213;226;246;229;272;315;357;350;388;335;311;364;361;404;418;390;386;419;495;500;475;604;650;666;727;763;762;841;798;755;861;850;1023;1124;1224;1177
"1275 Perstorp";"permanent dwelling (no site leasehold rights)";226;250;252;231;263;269;271;304;373;400;382;404;412;421;418;443;457;511;552;494;493;506;519;599;583;779;839;784;794;944;884;739;850;870;885;929;981;1047;1260
"1276 Klippan";"permanent dwelling (no site leasehold rights)";229;217;218;237;245;241;257;277;324;369;398;380;317;364;411;409;378;427;455;485;488;513;536;618;668;807;911;929;1028;1049;1007;998;1037;905;1081;1119;1319;1410;1415
"1277 Åstorp";"permanent dwelling (no site leasehold rights)";282;252;253;224;225;236;278;325;397;428;476;453;407;435;452;450;503;561;573;614;620;647;788;794;904;1083;1226;1352;1339;1340;1199;1306;1324;1417;1451;1549;1771;1833;1801
"1278 Båstad";"permanent dwelling (no site leasehold rights)";387;332;321;366;370;389;454;540;641;640;867;795;825;778;823;829;972;987;1085;1249;1269;1416;1472;1847;1864;2340;2373;2529;2496;2946;2928;2894;2751;3532;3226;3946;3307;4068;3915
"1280 Malmö";"permanent dwelling (no site leasehold rights)";435;439;435;471;488;510;580;726;875;998;1171;1056;950;964;959;964;1091;1247;1402;1599;1833;1870;2156;2314;2611;3029;3305;3194;3225;3444;3463;3289;3433;3526;3999;4234;4596;4533;4950
"1281 Lund";"permanent dwelling (no site leasehold rights)";380;378;391;407;412;420;465;574;713;809;997;898;833;838;860;868;982;1052;1167;1373;1516;1623;1846;2150;2296;2582;2782;2764;2763;3238;3103;3147;3145;3154;3321;3737;3926;4142;4661
"1282 Landskrona";"permanent dwelling (no site leasehold rights)";311;312;293;310;323;305;394;440;509;575;702;702;596;623;627;589;699;748;865;861;960;1088;1173;1292;1309;1569;1865;1958;1964;2068;2009;2222;2179;2273;2374;2619;2910;2802;2922
"1283 Helsingborg";"permanent dwelling (no site leasehold rights)";381;382;390;403;422;433;475;578;691;825;903;781;798;816;811;874;979;1095;1219;1321;1406;1538;1751;1909;2150;2453;2733;2638;2884;2962;2848;2875;3031;3139;3341;3570;3719;3835;4042
"1284 Höganäs";"permanent dwelling (no site leasehold rights)";324;316;329;346;344;350;404;444;588;675;837;744;689;679;668;732;779;890;975;1136;1155;1215;1412;1605;1819;1890;2347;2201;2277;2575;2517;2426;2612;2678;2919;3093;3193;3264;3664
"1285 Eslöv";"permanent dwelling (no site leasehold rights)";244;269;236;252;246;256;295;357;424;508;584;472;455;517;506;526;523;593;606;677;775;821;998;1129;1262;1431;1632;1645;1647;1744;1757;1686;1748;1757;1860;2020;2245;2424;2617
"1286 Ystad";"permanent dwelling (no site leasehold rights)";269;306;284;282;290;289;361;373;458;540;612;585;523;501;552;593;642;684;760;805;1050;1016;1127;1410;1595;1716;1960;1952;1938;2121;2140;2087;2241;2278;2471;2600;3069;3047;3198
"1287 Trelleborg";"permanent dwelling (no site leasehold rights)";259;278;246;285;305;301;327;384;496;591;692;569;522;546;536;576;659;691;756;843;910;978;1142;1349;1451;1750;2021;1953;2018;2147;2181;2060;2148;2138;2359;2563;2728;2817;3015
"1290 Kristianstad";"permanent dwelling (no site leasehold rights)";237;238;245;242;257;282;307;337;409;465;503;495;434;487;491;521;561;579;650;654;737;754;847;949;1034;1209;1340;1242;1393;1462;1464;1482;1493;1583;1725;1878;1914;2027;2234
"1291 Simrishamn";"permanent dwelling (no site leasehold rights)";243;232;243;222;233;272;267;324;403;484;556;465;445;493;508;552;577;654;730;797;875;894;1086;1172;1326;1545;1733;1818;1780;2069;1841;1831;1754;1884;2335;2193;2566;2590;2523
"1292 Ängelholm";"permanent dwelling (no site leasehold rights)";319;323;331;318;328;340;387;443;541;625;741;665;568;610;640;686;729;845;818;940;982;1064;1206;1385;1574;1753;1952;2126;2148;2293;2248;2256;2343;2441;2477;2678;2774;3046;2958
"1293 Hässleholm";"permanent dwelling (no site leasehold rights)";224;225;213;221;245;239;261;292;338;381;409;418;387;415;408;426;469;489;480;516;525;558;577;676;768;864;934;983;1063;1053;1050;1043;1101;1128;1242;1267;1393;1510;1513
"1315 Hylte";"permanent dwelling (no site leasehold rights)";172;178;183;193;203;238;224;255;248;315;323;300;320;366;342;332;390;366;382;386;401;440;424;480;575;609;658;738;767;680;734;819;608;661;677;792;834;971;864
"1380 Halmstad";"permanent dwelling (no site leasehold rights)";301;320;328;335;333;359;397;455;527;637;783;689;660;681;674;707;772;828;880;952;1047;1152;1236;1470;1655;1853;2148;2148;2133;2315;2346;2344;2379;2446;2700;2881;3031;3201;3313
"1381 Laholm";"permanent dwelling (no site leasehold rights)";236;232;250;246;254;259;267;331;351;431;461;437;460;452;439;458;503;523;560;536;596;677;733;771;800;1111;1147;1160;1255;1245;1415;1308;1372;1511;1508;1719;1751;1920;2037
"1382 Falkenberg";"permanent dwelling (no site leasehold rights)";239;258;261;280;283;310;342;399;456;537;598;531;520;513;513;512;547;630;628;730;748;689;794;935;1096;1224;1308;1479;1468;1584;1616;1595;1680;1818;2030;2126;2372;2486;2459
"1383 Varberg";"permanent dwelling (no site leasehold rights)";306;339;317;330;339;378;404;483;547;632;742;668;604;657;660;681;718;799;863;918;968;1058;1191;1379;1653;1756;1853;1979;2098;2329;2293;2312;2395;2633;2828;3272;3409;3339;3419
"1384 Kungsbacka";"permanent dwelling (no site leasehold rights)";405;423;415;434;471;527;617;751;960;1014;1166;962;928;898;958;954;1024;1194;1286;1470;1584;1671;1854;2144;2472;2662;2828;2925;2935;3129;3202;3186;3469;3641;3884;4162;4725;4614;4777
"1401 Härryda";"permanent dwelling (no site leasehold rights)";370;383;391;429;437;466;541;672;816;943;969;896;819;789;789;848;864;1035;1067;1170;1294;1402;1528;1766;1972;2255;2405;2474;2576;2739;2989;2948;3241;3290;3648;3887;4266;4281;4165
"1402 Partille";"permanent dwelling (no site leasehold rights)";407;406;425;452;467;533;603;735;900;1054;1059;936;883;861;857;886;992;1088;1252;1359;1502;1607;1810;2032;2232;2512;2725;2865;2895;3163;3299;3435;3492;3897;4374;4866;5221;5218;5221
"1407 Öckerö";"permanent dwelling (no site leasehold rights)";368;346;401;419;424;469;549;603;692;881;917;901;714;750;778;829;853;962;1166;1294;1505;1616;1807;1993;2357;2628;2918;2901;2941;3158;3346;3239;3536;3669;3921;4257;4675;4681;4971
"1415 Stenungsund";"permanent dwelling (no site leasehold rights)";348;351;357;356;360;405;459;530;713;753;885;773;655;693;706;709;723;815;850;946;1145;1151;1341;1494;1834;1917;2031;2305;2207;2294;2415;2521;2448;2597;2900;3194;3538;3456;3787
"1419 Tjörn";"permanent dwelling (no site leasehold rights)";308;328;316;328;350;401;493;546;725;817;850;762;691;641;741;686;739;826;923;1084;1024;1184;1412;1533;1784;1931;2118;2363;2456;2509;2406;2200;2461;2660;2393;2885;3254;3009;3451
"1421 Orust";"permanent dwelling (no site leasehold rights)";288;304;299;315;330;345;419;496;564;672;758;729;616;614;656;658;781;743;756;952;953;934;1167;1294;1385;1561;1740;1850;1881;1955;2327;2003;2261;2345;2020;2323;2455;2649;2644
"1427 Sotenäs";"permanent dwelling (no site leasehold rights)";260;288;282;297;323;331;391;466;580;633;773;629;621;605;650;656;769;767;905;1030;1102;1238;1396;1463;1501;2020;2238;2373;2593;2781;2743;2730;2757;2936;2923;3345;3373;3589;3765
"1430 Munkedal";"permanent dwelling (no site leasehold rights)";256;277;265;250;266;273;311;354;435;477;474;433;406;388;426;394;434;436;487;446;493;497;566;632;673;806;827;882;907;1057;1068;932;1137;1103;1174;1220;1527;1562;1492
"1435 Tanum";"permanent dwelling (no site leasehold rights)";263;249;238;280;303;304;314;376;720;525;574;563;467;520;565;570;633;693;775;738;803;924;1162;1270;1442;1555;1641;2040;1932;2042;2145;2380;2370;2277;2619;2231;2561;2956;2776
"1438 Dals-Ed";"permanent dwelling (no site leasehold rights)";204;211;197;230;245;276;238;308;363;420;500;397;345;422;335;401;384;467;437;432;501;520;520;711;710;702;907;763;871;1088;925;1075;1001;1023;1080;1066;1104;1098;1357
"1439 Färgelanda";"permanent dwelling (no site leasehold rights)";273;245;213;259;272;253;289;315;389;465;480;388;356;357;389;400;375;392;401;432;455;467;481;485;521;562;655;665;654;570;643;658;650;709;788;776;807;1009;954
"1440 Ale";"permanent dwelling (no site leasehold rights)";334;340;337;346;378;424;460;608;702;777;822;750;658;637;604;646;675;756;778;848;933;996;1107;1304;1406;1642;1865;1843;1856;1988;1996;2013;2088;2289;2521;2822;3319;3276;3450
"1441 Lerum";"permanent dwelling (no site leasehold rights)";356;387;372;403;417;444;526;636;765;871;932;870;699;763;759;770;850;921;969;1049;1127;1320;1516;1608;1790;1970;2130;2229;2076;2374;2479;2420;2582;2783;3002;3470;3813;3928;3813
"1442 Vårgårda";"permanent dwelling (no site leasehold rights)";302;273;269;270;315;285;366;433;505;597;603;492;483;488;462;521;525;526;538;595;720;675;829;837;981;1029;1175;1186;1221;1347;1309;1303;1270;1392;1541;1818;1916;2006;2034
"1443 Bollebygd";"permanent dwelling (no site leasehold rights)";..;..;..;..;..;..;..;..;..;..;..;..;..;..;587;599;641;673;719;861;866;897;1101;1227;1275;1617;1707;1857;1755;1769;1730;1887;1609;1890;2070;2282;2518;2856;2922
"1444 Grästorp";"permanent dwelling (no site leasehold rights)";200;243;190;221;259;281;287;317;439;454;544;440;394;431;384;457;451;459;464;478;450;523;566;551;635;672;731;803;768;862;847;904;852;973;949;1245;1089;1398;1379
"1445 Essunga";"permanent dwelling (no site leasehold rights)";..;..;217;201;200;247;296;304;381;421;377;309;276;371;351;345;402;469;357;373;338;387;439;527;493;550;669;626;742;743;642;651;719;780;876;862;1125;1252;1092
"1446 Karlsborg";"permanent dwelling (no site leasehold rights)";268;268;254;253;271;277;279;332;367;337;374;421;348;312;351;378;342;420;367;448;411;444;485;482;520;621;692;715;805;804;1127;920;970;888;894;1061;1224;1266;1349
"1447 Gullspång";"permanent dwelling (no site leasehold rights)";185;177;214;201;203;201;227;262;288;282;301;297;278;308;282;328;291;319;295;312;339;346;352;351;396;418;426;574;522;435;519;464;523;505;655;567;613;765;693
"1452 Tranemo";"permanent dwelling (no site leasehold rights)";243;219;249;232;230;244;275;283;352;394;346;372;296;343;369;375;377;368;389;385;418;383;411;457;487;522;571;631;637;682;696;626;633;682;747;860;909;1087;1135
"1460 Bengtsfors";"permanent dwelling (no site leasehold rights)";201;178;204;210;239;241;269;276;330;377;404;311;333;325;367;408;365;339;387;415;397;432;412;497;472;523;652;685;666;798;602;701;693;667;735;708;862;841;810
"1461 Mellerud";"permanent dwelling (no site leasehold rights)";202;260;185;227;241;219;265;317;323;353;388;333;297;350;359;354;422;367;382;431;384;380;437;457;514;571;558;655;626;617;659;745;698;740;745;986;885;1067;931
"1462 Lilla Edet";"permanent dwelling (no site leasehold rights)";259;261;269;323;281;323;337;402;525;566;562;523;417;406;425;435;445;477;538;565;568;661;622;752;865;960;1001;1023;1031;1191;1116;1115;1212;1300;1411;1681;1912;2040;2162
"1463 Mark";"permanent dwelling (no site leasehold rights)";254;248;289;262;277;295;329;401;456;536;594;555;438;491;460;520;524;593;556;591;646;668;762;833;930;1077;1140;1166;1153;1239;1256;1243;1273;1309;1496;1650;1949;1996;2101
"1465 Svenljunga";"permanent dwelling (no site leasehold rights)";201;225;227;232;228;255;276;298;364;431;419;381;344;354;374;380;366;356;409;416;398;390;478;489;639;647;653;703;673;740;664;786;839;864;848;979;1052;1111;1290
"1466 Herrljunga";"permanent dwelling (no site leasehold rights)";236;235;215;217;239;227;260;332;399;461;451;421;300;363;361;343;379;379;401;432;465;468;509;573;521;611;646;719;725;865;826;800;869;860;817;1002;1495;1152;1380
"1470 Vara";"permanent dwelling (no site leasehold rights)";196;201;191;178;178;204;218;219;293;322;355;345;293;325;310;335;352;339;371;332;331;435;430;483;463;563;599;665;644;665;779;752;743;763;830;1035;1017;1130;1232
"1471 Götene";"permanent dwelling (no site leasehold rights)";228;221;225;229;236;248;271;339;370;400;409;384;360;380;396;415;420;469;502;476;474;532;555;581;689;752;770;864;972;924;953;967;882;1012;1193;1228;1333;1426;1476
"1472 Tibro";"permanent dwelling (no site leasehold rights)";260;244;244;265;262;274;284;317;349;402;407;470;442;422;434;414;446;490;493;497;491;541;589;571;651;629;797;840;855;879;829;855;866;941;1162;1279;1410;1429;1341
"1473 Töreboda";"permanent dwelling (no site leasehold rights)";191;196;193;187;219;235;227;278;345;353;325;372;325;354;326;382;370;398;391;422;413;413;410;447;457;505;575;606;668;676;635;629;646;718;817;988;887;1067;1010
"1480 Göteborg";"permanent dwelling (no site leasehold rights)";454;465;487;513;548;599;706;869;1037;1145;1257;1073;982;1084;1068;1038;1198;1332;1486;1650;1800;1870;2158;2442;2689;2933;3244;3325;3376;3718;3768;3787;3955;4231;4853;5387;5890;5783;5944
"1481 Mölndal";"permanent dwelling (no site leasehold rights)";442;415;427;483;487;527;614;751;873;997;1087;895;840;840;821;878;962;1050;1151;1363;1457;1612;1767;2027;2238;2476;2720;2794;2852;3146;3227;3274;3353;3508;4000;4534;4839;4961;5027
"1482 Kungälv";"permanent dwelling (no site leasehold rights)";400;385;411;459;455;496;576;696;827;910;1011;858;819;825;832;823;972;1020;1096;1251;1274;1403;1560;1757;1948;2137;2290;2433;2383;2550;2558;2852;2730;3009;3329;3606;4081;3997;4203
"1484 Lysekil";"permanent dwelling (no site leasehold rights)";309;331;314;296;320;385;388;428;636;656;779;649;562;662;646;656;688;737;787;948;909;994;1133;1227;1426;1626;1641;1984;1893;2274;2350;2049;2234;2410;2292;2424;2343;2072;2764
"1485 Uddevalla";"permanent dwelling (no site leasehold rights)";372;348;338;337;367;388;427;525;636;700;759;656;570;606;638;644;678;728;798;813;868;912;1026;1173;1268;1517;1615;1590;1728;1823;1829;1903;1910;2205;2258;2508;2595;2754;2817
"1486 Strömstad";"permanent dwelling (no site leasehold rights)";259;261;294;296;344;344;377;436;492;573;573;478;465;546;528;556;660;683;731;794;946;1035;1284;1375;1460;1662;1973;1879;2010;2443;2462;2271;2539;2620;2711;2779;3329;3308;3067
"1487 Vänersborg";"permanent dwelling (no site leasehold rights)";322;297;307;330;366;371;431;483;555;623;647;589;572;582;566;532;545;595;635;673;707;787;843;880;944;1040;1281;1291;1270;1332;1362;1395;1370;1454;1645;1763;1935;2071;2003
"1488 Trollhättan";"permanent dwelling (no site leasehold rights)";301;309;323;324;352;389;410;488;601;695;700;668;632;598;604;639;697;757;812;833;883;992;996;1100;1175;1332;1512;1515;1574;1624;1658;1636;1791;1887;2161;2397;2827;2740;2743
"1489 Alingsås";"permanent dwelling (no site leasehold rights)";362;353;353;371;406;407;485;580;702;778;838;738;700;659;687;708;725;792;824;941;1024;1133;1200;1458;1535;1795;1930;1898;2003;2142;2215;2175;2327;2497;2580;2816;3284;3290;3525
"1490 Borås";"permanent dwelling (no site leasehold rights)";312;322;306;316;335;347;374;458;556;612;660;608;555;590;559;573;608;659;696;749;820;918;1052;1115;1238;1427;1518;1591;1614;1714;1768;1785;1895;2030;2167;2411;2677;2709;2868
"1491 Ulricehamn";"permanent dwelling (no site leasehold rights)";251;259;258;268;260;258;280;322;407;480;492;485;415;458;460;465;500;519;534;526;575;590;664;670;718;854;1006;959;961;1029;1038;1025;1090;1276;1320;1443;1633;1828;1752
"1492 Åmål";"permanent dwelling (no site leasehold rights)";243;230;227;240;252;259;282;332;378;421;461;428;440;390;425;410;444;457;465;457;501;497;566;611;649;729;761;753;848;844;857;883;843;917;1025;1082;1088;1184;1220
"1493 Mariestad";"permanent dwelling (no site leasehold rights)";280;270;235;266;295;293;301;379;425;557;564;493;482;495;457;509;524;564;589;600;644;647;687;787;848;870;1065;1170;1187;1164;1161;1203;1243;1291;1402;1556;1724;1679;1846
"1494 Lidköping";"permanent dwelling (no site leasehold rights)";303;284;287;296;325;312;359;423;479;551;589;620;564;571;600;609;648;703;771;813;912;865;1015;1142;1227;1428;1486;1604;1603;1727;1773;1647;1782;1985;2032;2292;2474;2468;2494
"1495 Skara";"permanent dwelling (no site leasehold rights)";265;273;278;266;311;292;347;397;462;492;574;529;473;513;524;483;562;548;584;681;662;656;637;750;848;974;1015;1217;1104;1112;1323;1186;1257;1182;1414;1575;1590;1695;1681
"1496 Skövde";"permanent dwelling (no site leasehold rights)";283;293;300;321;338;359;379;424;475;563;610;624;532;589;561;616;618;662;716;751;807;845;901;960;1038;1242;1411;1400;1532;1511;1617;1714;1782;1855;2119;2151;2353;2440;2662
"1497 Hjo";"permanent dwelling (no site leasehold rights)";275;275;261;262;311;301;316;360;424;452;476;485;481;474;483;450;498;510;533;576;610;623;612;685;767;830;992;975;955;1041;999;1009;1086;1247;1265;1478;1453;1434;1711
"1498 Tidaholm";"permanent dwelling (no site leasehold rights)";224;215;205;223;234;251;250;314;362;368;467;378;397;376;433;398;423;446;451;473;474;500;525;543;608;663;764;839;708;872;955;821;892;1062;1098;1115;1338;1441;1492
"1499 Falköping";"permanent dwelling (no site leasehold rights)";246;248;257;269;282;271;319;341;388;423;471;451;446;449;420;477;515;510;534;574;547;567;599;645;676;748;937;941;985;1006;1045;1108;1065;1024;1145;1363;1516;1520;1528
"1715 Kil";"permanent dwelling (no site leasehold rights)";284;302;270;282;301;299;352;395;467;566;576;550;453;454;469;471;517;533;595;568;576;701;589;724;825;905;975;1024;1151;1138;1136;1047;1126;1326;1279;1385;1596;1683;1704
"1730 Eda";"permanent dwelling (no site leasehold rights)";174;173;205;252;229;247;292;299;340;352;347;301;378;317;295;258;309;281;334;384;447;440;480;448;474;553;692;772;825;846;752;770;789;796;800;850;917;922;1109
"1737 Torsby";"permanent dwelling (no site leasehold rights)";227;221;206;227;240;273;251;311;332;364;393;355;357;326;388;394;407;422;439;424;432;408;458;454;447;540;641;630;655;680;704;662;704;747;854;921;903;930;1198
"1760 Storfors";"permanent dwelling (no site leasehold rights)";198;244;195;226;207;245;336;267;293;338;357;350;336;322;386;282;317;385;318;299;437;388;334;396;391;431;546;548;474;582;499;514;449;451;554;518;597;775;624
"1761 Hammarö";"permanent dwelling (no site leasehold rights)";359;317;329;351;373;389;406;501;578;714;803;717;657;692;723;696;789;835;889;970;1001;1083;1135;1313;1462;1653;1672;1813;1830;1993;2058;2188;2236;2287;2659;2943;2826;3078;3350
"1762 Munkfors";"permanent dwelling (no site leasehold rights)";162;163;160;161;187;145;149;189;225;256;271;257;239;276;250;247;226;264;282;246;246;265;259;263;331;341;399;415;441;400;485;428;379;356;393;350;434;443;490
"1763 Forshaga";"permanent dwelling (no site leasehold rights)";237;232;231;208;232;231;242;330;398;442;454;391;366;368;388;382;400;459;445;449;466;463;496;545;609;688;735;806;819;799;822;842;879;895;955;1076;1292;1246;1335
"1764 Grums";"permanent dwelling (no site leasehold rights)";207;209;185;209;223;219;233;289;338;384;394;366;341;350;356;375;374;415;412;407;407;468;448;468;511;556;604;651;644;703;720;682;750;812;921;949;911;1023;1043
"1765 Årjäng";"permanent dwelling (no site leasehold rights)";178;228;235;242;292;259;309;363;396;438;424;299;366;356;353;332;349;371;425;465;511;559;594;669;693;839;871;1010;964;1103;1087;1044;1103;1213;1208;1269;1365;1321;1414
"1766 Sunne";"permanent dwelling (no site leasehold rights)";222;224;205;235;255;272;261;304;408;416;456;428;437;439;449;490;531;534;539;548;515;570;562;632;709;748;835;815;1043;902;1049;988;963;1094;1201;1199;1357;1348;1284
"1780 Karlstad";"permanent dwelling (no site leasehold rights)";339;322;336;338;344;373;421;472;586;670;712;662;600;640;642;683;729;771;833;877;917;981;1103;1143;1208;1440;1591;1660;1787;1909;1857;1781;2067;2169;2259;2395;2685;2646;2902
"1781 Kristinehamn";"permanent dwelling (no site leasehold rights)";256;237;251;268;267;290;322;368;414;463;499;475;420;450;434;458;518;535;521;560;528;561;561;541;667;650;716;862;872;887;866;765;852;900;979;1028;1164;1397;1353
"1782 Filipstad";"permanent dwelling (no site leasehold rights)";202;219;204;221;260;270;292;299;344;331;371;336;302;308;309;298;351;358;340;355;346;364;306;369;351;394;410;474;449;466;469;462;478;497;537;466;553;600;666
"1783 Hagfors";"permanent dwelling (no site leasehold rights)";238;182;185;217;211;225;269;288;331;415;361;344;293;352;359;353;357;317;348;351;320;347;341;395;440;507;523;522;561;586;528;471;547;627;582;553;635;617;642
"1784 Arvika";"permanent dwelling (no site leasehold rights)";223;246;251;265;259;297;300;345;386;431;455;428;432;419;453;402;434;446;429;487;477;552;563;637;662;782;892;968;1020;1041;978;1004;1042;1165;1199;1308;1436;1536;1571
"1785 Säffle";"permanent dwelling (no site leasehold rights)";253;265;242;261;259;273;302;359;423;459;503;412;405;435;432;455;447;466;466;488;497;512;520;631;604;659;701;746;786;802;885;736;752;782;817;934;920;970;1142
"1814 Lekeberg";"permanent dwelling (no site leasehold rights)";..;..;..;..;..;..;..;..;..;..;..;..;..;..;400;429;526;453;505;603;560;601;647;715;719;843;852;1023;951;1050;905;1067;1029;1199;1299;1551;1520;1609;1728
"1860 Laxå";"permanent dwelling (no site leasehold rights)";287;261;294;241;310;302;312;365;407;455;499;387;441;373;415;351;375;350;398;392;399;394;458;409;509;545;538;491;644;476;575;514;522;593;610;712;714;975;893
"1861 Hallsberg";"permanent dwelling (no site leasehold rights)";255;255;264;261;264;257;286;319;374;467;459;381;368;368;375;453;471;470;521;539;548;549;579;619;686;684;829;800;865;829;952;855;933;963;1067;1279;1248;1372;1373
"1862 Degerfors";"permanent dwelling (no site leasehold rights)";279;251;265;275;295;293;309;333;365;380;405;382;297;330;351;369;374;391;390;385;384;392;437;449;461;490;491;499;553;544;528;497;516;499;600;682;747;826;825
"1863 Hällefors";"permanent dwelling (no site leasehold rights)";217;221;232;244;235;230;253;285;295;313;322;357;263;308;304;303;281;270;297;318;317;306;313;346;388;406;418;424;428;519;411;424;405;468;457;554;519;521;669
"1864 Ljusnarsberg";"permanent dwelling (no site leasehold rights)";170;167;176;177;168;176;197;225;262;305;339;225;217;269;324;271;324;253;281;296;257;280;278;274;318;358;314;374;379;337;398;373;460;416;488;493;636;657;635
"1880 Örebro";"permanent dwelling (no site leasehold rights)";337;319;321;339;366;363;407;467;559;639;728;666;611;618;676;753;767;850;901;991;1035;1072;1207;1355;1472;1667;1915;2013;1988;2017;2084;2138;2227;2456;2724;2920;3116;3123;3275
"1881 Kumla";"permanent dwelling (no site leasehold rights)";257;277;260;277;268;295;340;377;437;530;551;523;421;471;520;508;583;628;661;710;765;709;773;893;1005;1113;1178;1329;1349;1319;1378;1349;1382;1682;1834;1972;2053;2335;2265
"1882 Askersund";"permanent dwelling (no site leasehold rights)";239;263;246;264;256;261;289;308;337;413;409;422;430;378;426;459;466;469;482;424;487;515;515;533;593;664;688;849;797;895;872;826;856;903;1030;1082;1356;1290;1412
"1883 Karlskoga";"permanent dwelling (no site leasehold rights)";336;329;309;338;345;364;380;405;465;479;485;451;449;447;454;493;490;519;536;553;591;606;699;689;746;804;871;839;955;948;962;993;932;953;1123;1321;1540;1513;1427
"1884 Nora";"permanent dwelling (no site leasehold rights)";284;290;270;289;271;291;306;328;438;485;497;406;449;451;461;438;474;494;560;586;547;611;661;675;684;822;804;974;1052;1013;1096;980;1152;1005;1128;1349;1368;1643;1693
"1885 Lindesberg";"permanent dwelling (no site leasehold rights)";258;235;248;253;266;271;282;318;353;423;452;386;385;413;396;405;422;453;450;469;460;526;514;519;593;631;679;766;795;745;769;868;857;869;1037;1117;1225;1184;1397
"1904 Skinnskatteberg";"permanent dwelling (no site leasehold rights)";229;243;183;211;278;233;216;307;377;386;386;381;363;386;340;314;374;361;405;423;361;361;384;455;459;623;444;564;597;580;565;579;486;626;597;807;892;605;872
"1907 Surahammar";"permanent dwelling (no site leasehold rights)";283;305;281;314;304;331;345;437;498;589;598;493;414;460;430;457;466;489;560;529;537;625;615;655;774;912;896;962;966;947;928;965;1010;1014;1131;1304;1510;1524;1499
"1960 Kungsör";"permanent dwelling (no site leasehold rights)";305;297;282;284;320;313;348;373;466;507;589;542;435;479;440;459;476;516;571;585;600;642;721;779;739;927;850;1019;931;943;1078;1059;899;1062;1240;1483;1589;1751;1771
"1961 Hallstahammar";"permanent dwelling (no site leasehold rights)";267;261;264;288;320;330;380;460;559;639;643;618;505;537;488;550;631;603;688;702;707;719;853;959;981;1109;1243;1124;1285;1230;1259;1206;1273;1352;1604;1831;2185;2129;1929
"1962 Norberg";"permanent dwelling (no site leasehold rights)";259;293;303;314;305;306;311;335;376;401;474;415;405;397;431;404;422;407;440;459;414;407;486;481;487;518;632;659;624;755;689;560;729;696;687;776;1064;1017;1111
