"Purchase price for one- and two-dwelling buildings, average in 1 000 SEK by region, type of real estate and year"

"region";"type of real estate";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019"
"0187 Vaxholm";"permanent dwelling (no site leasehold rights)";439;430;565;543;626;621;798;888;1209;1610;1601;1458;1224;1350;1321;1404;1654;1771;1989;2643;2454;2809;3191;3270;3167;3745;4911;4441;4314;4573;4729;4962;5069;5462;6046;6616;7661;6566;7448
"0188 Norrtälje";"permanent dwelling (no site leasehold rights)";332;319;316;340;354;390;427;533;614;765;883;728;606;688;701;632;680;802;844;963;1107;1165;1329;1390;1457;1621;1808;1889;2014;2000;1995;2070;2043;2232;2265;2447;2661;2806;2723
"0191 Sigtuna";"permanent dwelling (no site leasehold rights)";516;480;522;552;553;608;712;917;1031;1211;1236;1116;964;958;1084;989;1182;1241;1391;1756;1853;1951;2135;2261;2412;2659;2780;2832;2961;3202;3210;3362;3522;3554;3941;4378;4605;4416;4519
"0192 Nynäshamn";"permanent dwelling (no site leasehold rights)";405;423;423;442;461;479;542;655;718;840;983;821;688;781;728;738;775;927;912;1152;1261;1480;1405;1639;1850;1992;2096;2282;2107;2385;2380;2376;2499;2724;2788;3353;3646;3507;3433
"0305 Håbo";"permanent dwelling (no site leasehold rights)";413;405;375;369;416;423;508;682;828;872;883;791;672;690;697;674;797;888;1015;1217;1367;1502;1559;1687;1765;1969;2074;2113;2053;2222;2181;2301;2337;2537;2891;3186;3612;3504;3412
"0319 Älvkarleby";"permanent dwelling (no site leasehold rights)";264;276;258;259;266;282;304;311;384;422;468;432;414;411;432;409;419;482;473;482;512;597;605;668;714;723;872;906;977;1013;1046;1003;987;972;1275;1302;1400;1576;1604
"0330 Knivsta";"permanent dwelling (no site leasehold rights)";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1739;1761;1938;2113;2498;2702;2719;2827;2886;2898;3165;3396;3659;4022;4280;4148;4161
"0331 Heby";"permanent dwelling (no site leasehold rights)";234;229;223;213;222;246;260;302;381;406;455;396;413;341;345;343;345;386;393;447;482;534;582;600;673;719;812;833;863;944;917;977;1040;1066;1127;1289;1464;1414;1534
"0360 Tierp";"permanent dwelling (no site leasehold rights)";256;236;231;233;240;248;292;311;390;429;469;443;365;398;393;395;424;451;459;478;529;540;606;675;715;779;876;918;986;984;1012;1056;987;1165;1284;1459;1507;1475;1657
"0380 Uppsala";"permanent dwelling (no site leasehold rights)";429;426;427;436;444;467;591;706;883;945;1044;901;815;849;857;909;937;1058;1201;1342;1579;1804;1906;1990;2055;2231;2426;2551;2515;2862;2915;3059;3206;3431;3729;4087;4038;4022;3963
"0381 Enköping";"permanent dwelling (no site leasehold rights)";325;343;339;350;341;374;424;499;658;730;758;706;579;600;624;645;717;748;768;885;1087;1206;1216;1371;1426;1590;1743;1884;1920;1929;1936;1988;2050;2184;2473;2677;2978;2988;2909
"0382 Östhammar";"permanent dwelling (no site leasehold rights)";320;290;300;298;316;309;339;412;497;543;646;549;466;505;489;477;550;536;642;646;673;749;880;974;990;1130;1219;1270;1344;1367;1485;1420;1359;1699;1691;2015;1990;1936;2204
"0428 Vingåker";"permanent dwelling (no site leasehold rights)";246;281;283;294;296;283;347;337;456;506;602;590;498;464;444;470;437;503;511;560;522;614;577;587;740;765;763;829;896;981;913;826;956;1015;1019;1223;1377;1353;1612
"0461 Gnesta";"permanent dwelling (no site leasehold rights)";..;..;..;..;..;..;..;..;..;..;..;741;573;589;581;621;667;706;798;768;950;1073;1176;1320;1393;1479;1750;1740;1962;1984;1792;2071;2019;2101;2163;2353;2589;2524;2652
"0480 Nyköping";"permanent dwelling (no site leasehold rights)";327;346;346;349;369;380;422;527;631;727;827;753;605;598;625;619;628;698;756;848;872;923;1090;1275;1492;1576;1756;1677;1818;1898;1851;1910;1939;2024;2258;2674;2739;2846;2936
"0481 Oxelösund";"permanent dwelling (no site leasehold rights)";334;335;354;359;375;392;421;526;596;678;765;721;581;579;607;609;645;696;750;753;853;884;1045;1159;1089;1467;1431;1465;1305;1400;1352;1342;1369;1438;1819;2091;2196;2370;2387
"0482 Flen";"permanent dwelling (no site leasehold rights)";286;289;280;312;296;326;371;461;525;619;691;558;489;558;472;479;497;513;546;592;639;678;777;859;922;975;1071;1008;1203;1148;1171;997;1081;1182;1248;1539;1575;1533;1591
"0483 Katrineholm";"permanent dwelling (no site leasehold rights)";325;317;322;336;367;385;407;463;559;664;729;648;589;586;600;647;668;670;715;739;794;805;866;899;1048;1130;1152;1291;1237;1392;1344;1307;1455;1491;1604;1767;1960;2033;2214
"0484 Eskilstuna";"permanent dwelling (no site leasehold rights)";357;337;338;361;361;398;439;511;627;740;792;748;636;662;631;675;698;746;790;853;921;982;1173;1194;1352;1531;1661;1726;1736;1767;1753;1797;1859;2046;2451;2539;2760;2771;2919
"0486 Strängnäs";"permanent dwelling (no site leasehold rights)";354;373;385;387;405;429;466;556;640;799;887;790;710;749;720;749;785;945;942;1129;1175;1301;1427;1535;1581;1966;2006;2019;2033;2168;2225;2201;2280;2409;2581;2750;2944;3244;3334
